0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/css/foundation.min.css HTTP/1.1" 200 149359
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/js/customer.js HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/js/foundation.reveal.js HTTP/1.1" 200 13251
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/css/normalize.css HTTP/1.1" 200 7583
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s5.jpg HTTP/1.1" 200 30126
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/img/sony-xperia-sp-c5303-white.jpg HTTP/1.1" 200 20154
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s4.jpg HTTP/1.1" 200 24618
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/img/apple-iphone-5c.jpg HTTP/1.1" 200 24027
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/img/lg-google-nexus-5-d821-16gb-black.jpg HTTP/1.1" 200 25039
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:22 +1100] "GET /Product_Rating_System/img/nokia-lumia-1020-4g-lte-32gb-white.jpg HTTP/1.1" 200 20352
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:26 +1100] "GET /Product_Rating_System/ HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:26 +1100] "GET /Product_Rating_System/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:26 +1100] "GET /Product_Rating_System/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:26 +1100] "GET /Product_Rating_System/js/foundation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:26 +1100] "GET /Product_Rating_System/js/foundation.reveal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:26 +1100] "GET /Product_Rating_System/js/customer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:26 +1100] "GET /Product_Rating_System/css/foundation.min.css HTTP/1.1" 304 -
